Currency,country_code,country,Value,Increase
AUD,AUS,Australia,12842.88155433,Yes
ARS,AUT,Austria,205909.40618087,Yes
BRL,BRA,Brazil,34133.96088338,No
CAD,CAN,Canada,12072.21231473,No
CLP,CHL,Chile,5655672.06500521,Yes
CNY,CHN,China,57479.35774512,Yes
CZK,CZE,Czech Republic,203012.71715877,Yes
EUR,DEU,Germany,7936.99498376,Yes
DKK,DNK,Denmark,59393.51,Yes
GBP,GBR,United Kingdom,6937.97416867,Yes
HKD,HKG,Hong kong,79045.92400361,Yes
HUF,HUN,Hungary,2464567.72,No
IDR,IDN,Indonesia,134573134.88762,Yes
INR,IND,India,623627.95872485,Yes
ILS,ISR,Israel,34193.45960726,No
JPY,JPN,Japan,1065934.61281689,Yes
KRW,KOR,South Korea,10716847.6518559,Yes
MXN,MEX,Mexico,184428.63047755,No
MYR,MYS,Malaysia,38705.74037604,Yes
NOK,NOR,Norway,78314.59156408,Yes
NZD,NZL,New Zealand,13713.6386245,Yes
PHP,PHL,Phillipines,490435.15161831,Yes
RUB,RUS,Russia,563970.10886368,Yes
SGD,SGP,Singapore,12909.05180166,No
SEK,SWE,Sweden,81628.4048721,Yes
THB,THA,Thailand,304764.33397612,Yes
TRY,TUR,Turkey,38796.35401905,No
TWD,TWN,Taiwan,308940.6,Yes
USD,USA,United States of America,9702.50271596,Yes
ZAR,ZAF,South Africa,123680.63546771,Yes
AED,UAE,United Arab Emirates,34451.47,Yes
