index,daily_change_percent,ytd_change_percent,year_change_percent,threeYear_change_percent,country_code,country,market_status
All Ordinaries,-0.20 ,-3.3,1.3,0.9,AUS,Australia,closed
Dow Jones China 88,-1.20 ,-7.3,14.8,-4.6,CHN,China,closed
Hang Seng,-0.94 ,1.7,26.5,3.9,HKG,Hong kong,closed
S & P BSE Sensex,-0.03 ,1.1,17.2,7.3,IND,India,closed
Jakarta Composite,-0.29 ,-0.3,11.9,5.5,IDN,Indonesia,closed
Nikkei 300,0.08,-3.7,15.9,2.2,JPN,Japan,closed
Kuala Lumpur Composite,-0.39 ,5.1,7.5,0.7,MYS,Malaysia,closed
S & P/NZX 50,-0.59 ,-0.9,15.6,12.6,NZL,New Zealand,closed
PSEi,0.58,-9.7,2,-0.6,PHL,Phillipines,closed
Straits Times,-0.70 ,5,13.8,0.7,SGP,Singapore,closed
Kospi,-0.39 ,0.4,14.4,4.9,KOR,South Korea,closed
Colombo Stock Exchange,0.19,2.7,0.1,-2.6,LKA,Sri Lanka,closed
Weighted,-1.75 ,1.3,10.9,4.1,TWN,Taiwan,closed
SET,0.35,2.7,14.7,4.9,THA,Thailand,closed
ATX ,0.17,1.8,22.1,10.1,AUT,Austria,closed
Bel-20,0.24,-1.4,4,0.8,BEL,Belgium,closed
PX 50,-0.61 ,4,14.7,2.2,CZE,Czech Republic,closed
OMX Copenhagen,-0.35 ,-5.2,4.7,0.1,DNK,Denmark,closed
OMX Helsinki,-0.41 ,3.1,6.4,2.4,FIN,Finland,closed
CAC 40,0.39,1.9,7,1.4,FRA,France,closed
DAX,-0.21 ,-2.9,4.1,1.8,DEU,Germany,closed
BUX,-1.40 ,-3.2,15.6,20.8,HUN,Hungary,closed
FTSE MIB,0.16,9,20.7,0.7,ITA,Italy,closed
AEX,-0.17 ,1.1,7.5,3.2,NLD,Netherlands,closed
All-Shares,-0.48 ,5.5,27.6,10.9,NOR,Norway,closed
WIG,-0.80 ,-5.7,1.4,2.3,POL,Poland,closed
PSI 20,0.11,2.6,13.4,-2.9,PRT,Portugal,closed
RTS Index,-0.68 ,-0.7,5.7,4.8,RUS,Russia,closed
IBEX 35 ,0.16,-1.6,-4.7,-4.6,ESP,Spain,closed
SX All Share ,0.56,1.3,2.1,1.5,SWE,Sweden,closed
Swiss Market ,-0.29 ,-6.1,3,-1.6,CHE,Switzerland,closed
BIST 100 ,-1.06 ,-3.8,20,10.5,TUR,Turkey,closed
FTSE 100,0.54,-4.2,3.6,1.5,GBR,United Kingdom,closed
Merval ,-0.38 ,3.6,50,38.8,ARG,Argentina,open
Sao Paulo Bovespa,-0.32 ,12,34.2,16.7,BRA,Brazil,open
S & P/TSX Comp,0.19,-4.5,-0.8,0.2,CAN,Canada,open
Santiago IPSA,-0.39 ,1.4,15.1,9.2,CHL,Chile,open
IPC All-Share,-0.64 ,-1.9,-1.1,2.4,MEX,Mexico,open
Tel Aviv,,-1.7,7.5,-4.2,ISR,Israel,closed
Johannesburg All Share,0.1,-3.2,10.3,2.3,ZAF,South Africa,closed
Dow Jones Industrial Average,-0.42,5.7,9.2,9.5,USA,United States of America,open
